('Q108941', 'Фишер', 'PERSON')	Pred: ('Q2640102', 'Фишер')
('Q108367', 'Бандере', 'PERSON')	Pred: ('Q3122480', 'Гереда')
('Q182378', 'Путраджае', 'CITY')	Pred: ('Q42489', 'Деровере')
('Q730065', 'Сюдзи Накамура', 'PERSON')	Pred: ('Q730065', 'Сюдзи Накамура')
('Q201190', 'палестинцами', 'NATIONALITY')	Pred: ('Q201190', 'Палестинцы')
('Q4988896', 'Священного Синода РПЦ', 'ORGANIZATION')	Pred: ('Q4988896', 'Священный Синод РПЦ')
('Q326465', 'Верховного Совета СССР', 'ORGANIZATION')	Pred: ('Q326465', 'Верховный Совет СССР')
('Q60995', 'РПЦ', 'ORGANIZATION')	Pred: ('Q60995', 'РПЦ')
('Q483203', 'Стинг', 'PERSON')	Pred: ('Q44640', 'Стинг')
('Q23810', 'Нобелевские', 'PERSON')	Pred: ('Q4102750', 'Валевские')
('Q1633149', 'советский', 'NATIONALITY')	Pred: ('Q4147589', 'Советское гражданство')
('Q314339', 'Святого Феодора Ушакова', 'PERSON')	Pred: ('Q4472546', 'Улица Евгена Коновальца')
('Q219421', 'Маска', 'WORK_OF_ART')	Pred: ('Q219421', 'Маска')
('Q37922', 'Нобелевскую премию по литературе-2016', 'AWARD')	Pred: ('Q37922', 'Нобелевская премия по литературе')
('Q21', 'Англии', 'COUNTRY')	Pred: ('Q996189', 'Индийка')
('Q19444', 'Бирмингема', 'ORGANIZATION')	Pred: ('Q19444', 'Бирмингем')
('Q21662238', 'Верховный суд Таджикистана', 'ORGANIZATION')	Pred: ('Q21662238', 'Верховный Суд Таджикистана')
('Q2625069', 'Виктор Виноградов', 'PERSON')	Pred: ('Q3350299', 'Олег Виноградов')
('Q301950', 'больницу Санта Орсола', 'FACILITY')	Pred: ('Q472644', 'Сантамария Монго')
('Q21812812', 'Brexit', 'LAW')	Pred: ('Q5377', 'Пар')
('Q1255261', 'президент СССР', 'PROFESSION')	Pred: ('Q4112948', 'Влади')
('Q406', 'Стамбульская', 'CITY')	Pred: ('Q19610870', 'Стамбульский тоннель')
('Q28054400', 'экранизации повести Чехова «Чёрный монах»', 'WORK_OF_ART')	Pred: ('Q1940294', 'Чёрный роман')
('Q7416', 'Маргарет', 'PERSON')	Pred: ('Q866694', 'Маргарет')
('Q31', 'Бельгийском', 'COUNTRY')	Pred: ('Q206443', 'Бельгика')
('Q937857', 'футболисты', 'PROFESSION')	Pred: ('Q1436495', 'Жены футболистов')
('Q140686', 'председатель', 'PROFESSION')	Pred: ('Q16471297', 'Букис')
('Q13219587', 'фигуристка', 'PROFESSION')	Pred: ('Q4102364', 'Ложенка')
('Q573766', 'тренера-преподавателя СДЮСШОР №6 Минспорта Чувашии', 'PROFESSION')	Pred: ('Q16700081', 'СДЮСШОР по волейболу Александра Савина')
('Q157144', 'Винницким', 'CITY')	Pred: ('Q5390483', 'Медовик')
('Q75', 'интернетом', 'PRODUCT')	Pred: ('Q873660', 'Интернет2')
('Q952032', 'Петросян', 'PERSON')	Pred: ('Q4361638', 'Давид Петросян')
('Q21004257', 'Альянс надежды', 'ORGANIZATION')	Pred: ('Q371767', 'Альционы')
('Q188779', 'норвежский', 'NATIONALITY')	Pred: ('Q16021693', 'Ливенская')
('Q33999', 'актер', 'PROFESSION')	Pred: ('Q12844212', 'Кара Карабеков')
('Q22722', 'курфюрст', 'PROFESSION')	Pred: ('Q22722', 'Курфюрст')
('Q952032', 'Евгений Петросян', 'PERSON')	Pred: ('Q952032', 'Евгений Петросян')
('Q239756', 'Земляничная поляна', 'WORK_OF_ART')	Pred: ('Q239756', 'Земляничная поляна')
('Q233984', 'Цай Инвэнь', 'PERSON')	Pred: ('Q233984', 'Цай Инвэнь')
('Q194474', 'Храме Христа Спасителя', 'FACILITY')	Pred: ('Q5109008', 'Семинария Христа Спасителя')
('Q193426', 'Нэнси Дэвис Рейган', 'PERSON')	Pred: ('Q193426', 'Нэнси Дэвис Рейган')
('Q1276', 'Леонард Коэн', 'PERSON')	Pred: ('Q1276', 'Леонард Коэн')
('Q492468', 'россиян', 'NATIONALITY')	Pred: ('Q16532964', 'Адрес')
('Q849170', 'Святейший Патриарх', 'PROFESSION')	Pred: ('Q159583', 'Святейший Престол')
('Q3205563', 'студентам', 'PROFESSION')	Pred: ('Q471447', 'Флорет')
('Q31', 'Бельгию', 'COUNTRY')	Pred: ('Q31', 'Бельгия')
('Q236421', 'Джэнет Рино', 'PERSON')	Pred: ('Q236421', 'Рино Джэнет Вуд')
('Q116', 'монарх', 'PROFESSION')	Pred: ('Q6590585', 'Пуцар')
('Q172721', 'Мерседес', 'ORGANIZATION')	Pred: ('Q172721', 'Мерседес')
('Q626278', 'Kia Granbird', 'PRODUCT')	Pred: ('Q253082', 'Двигатель Toyota A')
('Q183', 'немецких', 'COUNTRY')	Pred: ('Q1751585', 'Ловаль')
('Q40495', 'Первезу Мушаррафу', 'PERSON')	Pred: ('Q40495', 'Первез Мушарафф')
('Q348205', 'Виктор Горбатко', 'PERSON')	Pred: ('Q348205', 'Виктор Горбатко')
('Q639669', 'музыканта', 'PROFESSION')	Pred: ('Q4065563', 'Андреева')
('Q43070', 'Донецкой', 'CITY')	Pred: ('Q1925725', 'Донецкое метро')
('Q159', 'российским', 'COUNTRY')	Pred: ('Q2041377', 'Российские вина')
('Q28084111', 'Уильям Сэлис', 'PERSON')	Pred: ('Q1380171', 'Уильям Трелис')
('Q1817324', 'Воложинского района', 'DISTRICT')	Pred: ('Q2216231', 'Вольнянский район')
('Q1081714', 'Владимир Львович Машков', 'PERSON')	Pred: ('Q1081714', 'Владимир Львович Машков')
('Q181042', 'киндер-сюрприз', 'PRODUCT')	Pred: ('Q181042', 'Киндер-сюрприз')
('Q352', 'Гитлер', 'PERSON')	Pred: ('Q352', 'Гитлер')
('Q483501', 'артистов', 'PROFESSION')	Pred: ('Q4003829', 'Концерт ужасов')
('Q260537', 'Лиле Брик', 'PERSON')	Pred: ('Q260537', 'Лили Брик')
('Q207293', 'кронпринцессы', 'PROFESSION')	Pred: ('Q207293', 'Кронпринцесса')
('Q212238', 'государственного служащего', 'PROFESSION')	Pred: ('Q18407660', 'Первый ранг государственного служащего')
('Q140012', 'Зима', 'CITY')	Pred: ('Q1311', 'Зима')
('Q4442600', 'Сергем Стиллавином', 'PERSON')	Pred: ('Q18581761', 'Леви Миллер')
('Q319497', 'Собянин', 'PERSON')	Pred: ('Q319497', 'Собянин')
('Q212', 'Украинский', 'COUNTRY')	Pred: ('Q8798', 'Украинский')
('Q151469', 'Единая Россия', 'ORGANIZATION')	Pred: ('Q151469', 'Единая Россия')
('Q1930187', 'Журналист', 'PROFESSION')	Pred: ('Q1930187', 'Журналист')
('Q954855', 'Фергюсона', 'CITY')	Pred: ('Q1125455', 'Фергусон')
('Q865', 'Тайване', 'COUNTRY')	Pred: ('Q1205377', 'Тайва')
('Q161562', 'Калифорнийский технологический институт', 'ORGANIZATION')	Pred: ('Q161562', 'Калифорнийский технологический институт')
('Q862538', 'Д’Артаньян и три мушкетёра', 'WORK_OF_ART')	Pred: ('Q862538', 'Д’Артаньян и три мушкетёра')
('Q1250779', 'Литературный институт им. А.М. Горького', 'ORGANIZATION')	Pred: ('Q1250779', 'Литературный институт им. А.М. Горького')
('Q41223', 'Пастернака', 'PERSON')	Pred: ('Q58434', 'Патерналист')
('Q190884', 'Черномырдин', 'PERSON')	Pred: ('Q190884', 'Черномырдин')
('Q624109', 'Ли Джэён', 'PERSON')	Pred: ('Q624109', 'Ли Джэён')
('Q432', 'Исламское', 'RELIGION')	Pred: ('Q484181', 'Исламское право')
('Q81066', 'генеральный секретарь ООН', 'PROFESSION')	Pred: ('Q81066', 'Генеральный секретарь ООН')
('Q3785077', 'Таави Рыйвас', 'PERSON')	Pred: ('Q3785077', 'Таави Рыйвас')
('Q730242', 'лётчиков-испытателей', 'PROFESSION')	Pred: ('Q1062135', 'Самолёт бизнес-класса')
('Q384593', 'сотрудники полиции', 'PROFESSION')	Pred: ('Q60667', 'Оперативные войска')
('Q212071', 'ректором', 'PROFESSION')	Pred: ('Q4213688', 'Медицинский университет Караганды')
('Q1026769', 'Орденом Святого Андрея Первозванного', 'AWARD')	Pred: ('Q1026769', 'Орден Святого Андрея Первозванного')
('Q2625835', 'Тулеева', 'PERSON')	Pred: ('Q4380907', 'Терпеева')
('Q220', 'римский', 'CITY')	Pred: ('Q33751', 'Карагасский язык')
('Q188984', 'Rangers', 'ORGANIZATION')	Pred: ('Q2093412', 'Назар')
('Q878151', 'президент Сальвадора', 'PROFESSION')	Pred: ('Q878151', 'Президент Сальвадора')
('Q491583', 'Мартин Гор', 'PERSON')	Pred: ('Q491583', 'Мартин Гор')
('Q11739162', 'Киевской городской государственной администрации', 'ORGANIZATION')	Pred: ('Q11739162', 'Киевская городская государственная администрация')
('Q17422', 'закона об однополом браке', 'LAW')	Pred: ('Q4226148', 'Кодекс о браке и семье')
('Q863096', 'Минск-Арене', 'FACILITY')	Pred: ('Q3596031', 'Атара-Армянское')
('Q4256396', 'Левжа', 'CITY')	Pred: ('Q4256401', 'Левжа')
('Q7257402', 'NHS', 'ORGANIZATION')	Pred: ('Q4447721', 'СеС')
('Q1867', 'Тайбэя', 'CITY')	Pred: ('Q173535', 'Флаг Тайваня')
('Q216868', 'Чесапикского залива', 'LOCATION')	Pred: ('Q1319988', 'Мост через Чесапикский залив')
('Q7803065', 'Тим', 'WORK_OF_ART')	Pred: ('Q546256', 'Тим')
('Q655286', 'Фонда Билла и Мелинды Гейтс', 'ORGANIZATION')	Pred: ('Q655286', 'Фонд Билла и Мелинды Гейтс')
('Q4080032', 'Бачинский', 'PERSON')	Pred: ('Q12295418', 'Бачийский')
('Q100188', 'Клуж-Напока', 'CITY')	Pred: ('Q100188', 'Клуж-Напока')
('Q500253', 'международного аэропорта Куала-Лумпура', 'FACILITY')	Pred: ('Q500253', 'Международный аэропорт Куала-Лумпура')
('Q193391', 'Дипломат', 'PROFESSION')	Pred: ('Q193391', 'Дипломат')
('Q15180', 'советского', 'COUNTRY')	Pred: ('Q83834', 'Антисоветский')
('Q11746', 'уханьским', 'CITY')	Pred: ('Q4234136', 'Ахмылово')
('Q4476368', 'Управления делами Президента РФ', 'ORGANIZATION')	Pred: ('Q4476368', 'Управление делами Президента РФ')
('Q148', 'Китае', 'COUNTRY')	Pred: ('Q370239', 'Кинамон')
('Q70216084', 'Mickaël Harpon', 'PERSON')	Pred: ('Q4017963', 'Мартин Вальтер')
